moiveId,query_title,title,plot
1,Toy Story (1995),Toy Story,"A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.::John Wiggins
Woody, a good-hearted cowboy doll who belongs to a young boy named Andy, sees his position as Andy's favorite toy jeopardized when his mom buys him a Buzz Lightyear action figure. Even worse, the arrogant Buzz thinks he's a real spaceman on a mission to return to his home planet. When Andy's family moves to a new house, Woody and Buzz must escape the clutches of maladjusted neighbor Sid Phillips and reunite with their boy.::Jwelch5742
Toy Story is about the 'secret life of toys' when people are not around. When Buzz Lightyear, a space-ranger, takes Woody's place as Andy's favorite toy, Woody doesn't like the situation and gets into a fight with Buzz. Accidentaly Buzz falls out the window and Woody is accused by all the other toys of having killed him. He has to go out of the house to look for him so that they can both return to Andys room. But while on the outside they get into all kind of trouble while trying to get home.::Marcos Eduardo Acosta Aldrete
Imagination runs rampant when toys become mobile when not watched. Two toys, Woody and Buzz Lightyear despise each other like no other. But, when the toys are separated from their home, a truce is formed between them all in an effort to journey home.::Joshua Davis <xtnb64a@prodigy.com>
A toy named Woody has it all. He is practically the leader in Andy's toy room, Bo Peep has the hots for him, and most importantly, he is Andy's favorite toy. But when the clocks strike Andy's birthday, a new toy arrives. Buzz Lightyear, a space cadet who thinks he is a space ranger, (not a toy in a room) instantly wins over Andy, thus becoming Andy's new treasure. But when Woody is accused of knocking Buzz out of the window, he must go into the world and find Buzz, with many delays...::neo101"
2,GoldenEye (1995),GoldenEye,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.
When a deadly satellite weapon system falls into the wrong hands, only Agent James Bond 007 (Pierce Brosnan) can save the world from certain disaster. Armed with his licence to kill, Bond races to Russia in search of the stolen access codes for ""GoldenEye"", an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia Onatopp (Famke Janssen), an assassin who uses pleasure as her ultimate weapon.::Robert Lynch <docrlynch@yahoo.com>
When a powerful satellite system goes missing, James Bond (Pierce Brosnan) is the only one who can stop those behind it. Sent to recover the weapon dubbed ""GoldenEye"", Bond must investigate the identity of the Janus Syndicate, who have stolen the weapon from a Russian research facility after an accident. Along the way, Bond must go up against a sexy yet deadly assassin and renegade Russian General Ourumov (Gottfried John), who happens to work directly for Janus. But what James finds is that he is up against an enemy who happens to be an old friend, and knows his every move.::Blazer346
1986 - Soviet Russia has been arming international terrorists with chemical weapon technology, and a chemical weapons plant in the mountains is the target of James Bond (Pierce Brosnan) and his closest compatriot, Alec Trevelyan (Sean Bean). Infiltrating the compound, they are spotted and Alec is captured. When ruthless Soviet General Ourumov (Gottfried John) executes Trevelyan, James pulls off a spectacular escape and succeeds in blowing up the compound. Now in 1995, he is assigned to tail former Red Air Force jet jockey Xenia Onatopp (Famke Janssen), who is working for a Russian crime syndicate known as ""Janus"", but he is unable to stop her from stealing a powerful helicopter, a theft initially dismissed as a possibility by MI6's new leader, ""M"" (Dame Judi Dench), a woman who is a bureaucratic bean counter who, despite her acidic responses to grumbling from her ticked-off men, is having to learn her job as she goes, and who has to trust James Bond's instincts after a nuclear accident occurs over a Russian region housing the tracking station for a weapons satellite known as ""GoldenEye"". James must track down the stolen gunship and all leads to a second GoldenEye system, and along the way, he is horrified to find the true identity of the Janus syndicate, which leads to a spectacular running pursuit from the stolen gunship, through a Soviet Army prison, to a wild street chase involving a tank and confrontation with a Soviet missile train, and eventually a showdown in the jungles of Cuba.::Michael Daly
Nine years after infiltrating a chemical weapons facility in Russia, where friend and fellow MI6 Agent Alec Trevelyan 006 (Sean Bean) was killed by corrupt Russian military officer General Ourumov (Gottfried John). Seductive British Secret Agent James Bond 007 (Pierce Brosnan) is assigned by his new boss, a female ""M"" (Dame Judi Dench) to recover ""GoldenEye"", the access key to a top secret space weapon orbiting the Earth which fires a electromagnetic pulse which shuts down all electronic equipment. The ""GoldenEye"" has been stolen from the Severnya space research station by General Ourumov and the lethal and deadly Xenia Onatopp (Famke Janssen) and slaughtered everyone at Servernya. Helped by Russian computer programmer Natalya Simonova (Izabella Scorupco), who was the sole survivor of the Servernya massacre, and witnessed Ourumov and Xenia steal the ""GoldenEye"". Bond learns Ourumov and Xenia are working for Alec Trevelyan, now a renegade MI6 agent, and 006 plans on using GoldenEye to wipe out London. 007 and Natalya set out to Cuba where Bond faces Trevelyan in a thrilling showdown as 007 sets out to save London from destruction.::Daniel Williamson"
3,Four Rooms (1995),Four Rooms,"Four interlocking tales that take place in a fading hotel on New Year's Eve.
This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>"
4,Get Shorty (1995),Get Shorty,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.
Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history.::Joshua Davis <xtnb64a@prodigy.com>
Chili Palmer, a Miami mobster, loan-sharks for Ray Bones, a violent thug with a big chip on his shoulder. Ray sends Chili to Vegas after a bad debt, and a casino boss enlists Chili to find an even bigger deadbeat: Harry Zimm, Hollywood player and producer of low-budget horror films. In Tinseltown, Chili meets Harry, as well as his scream- queen leading lady, Karen Flores; Harry's drug-dealing financier, Bo Catlett; and Karen's ex, Martin Weir (aka ""Shorty""), a big star with an ego to match. Chili finds his Mafioso skills lend themselves quite nicely to what he's always really wanted to do: producing movies."
5,Copycat (1995),Copycat,"An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?::Claudio Carvalho, Rio de Janeiro, Brazil
Criminal profiler and psychologist Dr Helen Hudson becomes entangled in the deadly mind game of a vicious copycat serial killer Peter Foley. Due to the horrific attack Helen suffered in her past as an agoraphobic she is confined to her apartment. The killer uses this against her in his murderous attempts to become a famous serial killer. Detectives M. J Monahan and Reuben Goetz they have the challenge of trying to capture the killer before he kills again and uses his chance to commit another atrocious murder.::Clare Brace <yanknanny99@hotmail.com>
Helen Hudson is a psychiatrist who specializes in serial killers. She suffers from agoraphobia and her only link to the outside world is her computer. A serial killer who copies the methods of famous serial killers (hence the title) threatens her on-line. Holly Hunter plays a cop who is on the trail of the killer. Together they try to identify him and, hopefully, dispatch him.::Miljen Matijasevic <sammatij@filozof.ffzg.hr>"
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
7,Twelve Monkeys (1995),12 Monkeys,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
James Cole, a prisoner of the state in the year 2035, can earn parole if he agrees to travel back in time and thwart a devastating plague. The virus has wiped out most of the Earth's population and the remainder live underground because the air is poisonous. Returning to the year 1990, six years before the start of the plague, Cole is soon imprisoned in a psychiatric facility because his warnings sound like mad ravings. There he meets a scientist named Dr. Kathryn Railly and Jeffrey Goines, the mad son of an eminent virologist. Cole is returned by the authorities to the year 2035, and finally ends up at his intended destination in 1996. He kidnaps Dr. Railly in order to enlist her help in his quest. Cole discovers graffiti by an apparent animal rights group called the Army of the Twelve Monkeys, but as he delves into the mystery, he hears voices, loses his bearings, and doubts his own sanity. He must figure out if Goines, who seems to be a raving lunatic, holds the key to the puzzle.
Claiming to be a time traveller from the distant 2035, James Cole--a delusional patient hospitalised in a 1990 mental institution--feels compelled to carry out his important mission: to save the world from a devastating virulent agent capable of annihilating billions. However, as Cole's psychiatrist, Dr Kathryn Railly, senses that there is more to him than meets the eye, a fateful encounter with another inmate--the unhinged, Jeffrey Goines--will trigger a string of unfathomable events, balancing between the past and the present, sanity and insanity. Now, all clues point to the extreme activist group known only as the Army of the Twelve Monkeys; nevertheless, is the reality Cole so eloquently describes, indeed, true, or is it only a disturbing but subjective hallucination?::Nick Riganas
An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict, James Cole, reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert.::Giancarlo Cairella <vertigo@imdb.com>
When Cole, a convict volunteer, is sent back in time to find information on a deadly virus that will destroy 5,000,000,000 members of the human race in 1996-1997, he mistakenly arrives in 1990. After explaining his plea to Dr. Kathryn Railly, he is placed in a mental institution. In 1996, he kidnaps Railly, using her to find the 12 Monkeys, a group of revolutionists that are planning to release the virus into select cities. But, he is wanted by the authorities for murder and kidnapping, plus he refuses to return to the future; he is in love with Railly.::Scott Morris <nute@mhv.net>
Terry Gilliam's nightmarish low-tech/high-tech future vision takes place in 1997, after a deadly virus has killed 99% of the human population--forcing the survivors to flee beneath our planet's surface. This leaves the (other) animals topside, to rule the Earth once again. The scientists select James Cole, an imprisoned sociopath, to return to the past and gather information useful in the defense against this contagion. Once back in time, he is to investigate the mysterious 'Army of the Twelve Monkeys' and report his findings. Scientific, social, and political themes like time travel (and its inherent paradoxes and nested loops), mental illness, the nature of reality, animal rights, and the Armageddon-potential of unchecked technological advances are artfully and cleverly explored.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>"
8,Babe (1995),Babe,"Babe, a pig raised by sheepdogs on a rural English farm, learns to herd sheep with a little help from Farmer Hoggett.
Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he can herd sheep too. But will the other farm animals, including Fly's jealous husband, Rex, accept a pig who doesn't conform to the farm's social hierarchy?::Jwelch5742
Farmer Hoggett wins a runt piglet at a local fair and Babe, as the piglet decides to call himself, befriends and learns about all the other animals on the farm. He becomes special friends with Fly, one of the sheep dogs. With her help and Farmer Hoggett's intuition, Babe embarks on a career in sheepherding with some surprising and spectacular results.::Kathy Li
Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly, the sheep dog he calls Mom, he realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hoggett knows it. With Fly's help he learns that a pig can be anything that he wants to be.::Eric Hines <Hedgehog@netrix.net>"
9,Dead Man Walking (1995),Dead Man Walking,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>
Sister Helen Prejean as she visits with the convicted murderer, Matthew Poncelet, during the final week before his state-ordered execution. Through her ministries as a nun, Sister Prejean works in the poor African-American St. Thomas Projects of New Orleans and first comes into contact with Poncelet through his letters sent to her order. She responds to Poncelet's letter, which leads her to visit Poncelet in jail. Though inexperienced in criminal chaplaincy, Sister Prejean becomes Poncelet's spiritual counselor and connects Poncelet with lawyer Hilton Barber, who helps Poncelet appeal his conviction with the State Board of Capital Punishment, Governor Benedict of Louisianna, and the State of Louisianna Supreme Court without success. After Mr. Delecroix, one of the victims' father, scolds Sister Prejean on helping Poncelet, Sister Prejean visits the victims' families and listens, teary-eyed, to their stories of pain, suffering, and anguish. Comforted with a tidal wave of opposition and criticism, Sister Prejean helps Matthew Poncelet come to terms with the responsibility of the murders and rape he committed. She sings hymns, reads the Bible, and rests a loving hand on Matt's shoulder as he walks to his death by lethal injection.::Eric and Cody
A caring nun receives a desperate letter from a death row inmate trying to find help to avoid execution for murder. Over the course of the time to the convict's death, the nun begins to show empathy, not only with the pathetic man, but also with the victims and their families. In the end, that nun must decide how she will deal with the paradox of caring for that condemned man while understanding the heinousness of his crimes.::Kenneth Chisholm <kchishol@execulink.com>"
10,Richard III (1995),Richard III,"The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.
William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side, claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York, commanded by the infamous Richard III (Sir Ian McKellen), who rules over a fascist government and hopes to install himself as a dictator monarch.::Anthony Hughes <husnock31@hotmail.com>
Based upon the famous National Theatre production Shakespeare's story of Richard III (Sir Ian McKellen) is set in a mythical fascist London of the 1930s. Richard seeks to gain the throne from his elder brother, Edward (Christopher Bowen), by any means within his grasp including murder, marriage, and fratricide. But aside from Edward, his other brother, Clarence (Sir Nigel Hawthorne), and Edward's two young sons also stand between Richard and the crown of England.::Kathy Li
This movie adaptation of Shakespeare's famous play is set into a hypothetical 1930s Europe. As sneering, leering Richard of Gloucester's (Sir Ian McKellen's) ruthless machinations bring him ever nearer the throne of England, royal blood is mercilessly spilt. Finally, only one foe remains to challenge his grasping claim, valiant Richmond. Will he prevail? Heavy Nazi-like pageantry and iconography color this modern adaptation of a classic Shakespearean History.::Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>"
